"","V1"
"Safariland",0.704286017461972
"barrett1987",0.719781312204532
"bezerra2009",0.451547586777226
"elberling1999",0.639894379327465
"inouye1988",0.347504639990188
"junker2013",0.568635236759632
"kato1990",0.656690495213228
"kevan1970",0.495076819908339
"memmott1999",0.51724599060024
"mosquin1967",0.708807592346957
"motten1982",0.395028913660087
"olesen2002aigrettes",0.675616584260052
"olesen2002flores",0.619112601292528
"ollerton2003",0.650605740101943
"schemske1978",0.512113534410868
"small1976",0.42068055450876
"vazarr",0.67356242525247
"vazcer",0.816432432276267
"vazllao",0.679155868331711
"vazmasc",0.746458920600147
"vazmasnc",0.829314707838172
"vazquec",0.773020823094293
"vazquenc",0.927816043650021
