"","AVG_time_BE","MIN_QW_BE","MAX_QW_BE","MEAN_QW_BE","MEDIAN_QW_BE","NUMFAIL_BE","NUMMAX_BE","MODULES_BE","UniqueConfigs_BE","QR_BE"
"Safariland",0.640520000000002,0.53517422748192,0.557527942143327,0.552629848783695,0.554240631163708,0,40,6,1,0.538461538461539
"barrett1987",3.66717,0.471117644949621,0.485603643013374,0.47978593710782,0.480565814478827,0,1,8,1,0.317365269461078
"bezerra2009",0.733670000000001,0.228526086094029,0.230113072803015,0.229351319182702,0.230113072803015,0,52,3,1,0.154929577464789
"elberling1999",23.35334,0.476979026904879,0.493821057834898,0.484565355553986,0.484499682225831,0,1,8,1,0.285714285714286
"inouye1988",74.6237800000001,0.394937625306304,0.415487859211406,0.40401356092671,0.404419135664958,0,1,11,1,0.0820895522388059
"junker2013",405.595540000001,0.472694263778181,0.487783632451465,0.479474149102646,0.479383160545748,0,1,19,1,0.111888111888112
"kato1990",3441.84015,0.569909573195386,0.580607190691105,0.574047335186979,0.57387915315628,0,1,20,1,0.278606965174129
"kevan1970",43.0588400000005,0.409568129520053,0.434459237343851,0.421715051775147,0.421736316568047,0,1,5,1,0.275641025641026
"memmott1999",19.30168,0.319739152805897,0.341931298307625,0.329031107034597,0.328256954620194,0,1,5,1,0.0969899665551839
"mosquin1967",0.818819999999969,0.449445983379501,0.478531855955679,0.469016620498615,0.469529085872576,0,25,6,1,0.368421052631579
"motten1982",2.51239,0.295466770991247,0.312533620225928,0.304278448823904,0.303560076287349,0,8,6,1,-0.048951048951049
"olesen2002aigrettes",1.25443000000003,0.333579881656805,0.340236686390533,0.338994082840237,0.340236686390533,0,80,4,1,0.269230769230769
"olesen2002flores",0.532500000000018,0.433333333333333,0.444444444444445,0.442344444444445,0.444444444444445,0,61,4,1,0.466666666666667
"ollerton2003",1.17889000000004,0.427844283155811,0.444622490338392,0.438555943067207,0.438684136110849,0,9,6,1,0.223300970873786
"schemske1978",0.358540000000003,0.369721344441252,0.369721344441252,0.369721344441252,0.369721344441252,0,100,6,1,0.11864406779661
"small1976",2.10313000000001,0.25521855037473,0.266435289975353,0.261862582365072,0.262210150394849,0,13,5,1,0.00709219858156018
"vazarr",0.8653999999999,0.523526230394808,0.541914548404543,0.534764737696052,0.534883720930232,0,17,7,1,0.534883720930233
"vazcer",0.743799999999992,0.607407407407408,0.618765432098766,0.616730864197531,0.618765432098766,0,73,6,1,0.644444444444444
"vazllao",0.914959999999965,0.557823129251701,0.575963718820862,0.569716553287982,0.569727891156462,0,39,6,1,0.619047619047619
"vazmasc",0.486039999999939,0.530092592592593,0.547067901234568,0.544405864197531,0.545524691358025,0,48,6,2,0.555555555555556
"vazmasnc",0.533179999999993,0.512495194156094,0.527489427143407,0.520488273740869,0.521337946943484,0,8,6,1,0.450980392156863
"vazquec",0.478619999999973,0.49298325033952,0.496604798551381,0.495885015844274,0.496604798551381,0,73,4,1,0.531914893617021
"vazquenc",0.300069999999969,0.534859521331946,0.54942767950052,0.548189386056191,0.54942767950052,0,74,5,1,0.67741935483871
