"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",8,2,2,6,4,9,9,4,4,9,9,9,9,5,9,9,8,2
"2",5,1,1,3,2,4,4,2,2,4,4,4,4,6,4,4,5,1
"3",10,11,11,6,3,4,4,3,3,4,4,4,4,1,4,4,10,11
"4",7,3,3,9,8,6,6,8,8,6,6,6,6,4,6,6,7,3
"5",3,1,1,8,2,4,4,2,2,4,4,4,4,5,4,4,3,1
"6",9,1,1,3,3,10,10,3,3,10,10,10,10,4,10,10,9,1
"7",4,5,5,6,1,3,3,1,1,3,3,3,3,2,3,3,4,5
"8",2,4,4,5,8,3,3,8,8,3,3,3,3,7,3,3,2,4
"9",1,3,3,4,6,2,2,6,6,2,2,2,2,7,2,2,1,3
"10",9,8,8,11,6,3,3,6,6,3,3,3,3,5,3,3,9,8
"11",8,4,4,6,7,3,3,7,7,3,3,3,3,5,3,3,8,4
"12",5,3,3,4,1,6,6,1,1,6,6,6,6,4,6,6,5,3
"13",3,5,5,7,4,6,6,4,4,6,6,6,6,2,6,6,3,5
"14",3,4,4,6,2,5,5,2,2,5,5,5,5,1,5,5,3,4
"15",5,2,2,3,1,7,7,1,1,7,7,7,7,5,7,7,5,2
"16",4,1,1,7,2,3,3,2,2,3,3,3,3,5,3,3,4,1
"17",5,7,7,8,3,4,4,3,3,4,4,4,4,1,4,4,5,7
"18",10,7,7,3,4,6,6,4,4,6,6,6,6,5,6,6,10,7
"19",3,1,1,5,7,4,4,7,7,4,4,4,4,2,4,4,3,1
"20",8,12,12,7,4,6,6,4,4,6,6,6,6,8,6,6,8,12
"21",5,1,1,7,8,4,4,8,8,4,4,4,4,3,4,4,5,1
"22",3,7,7,6,8,4,4,8,8,4,4,4,4,5,4,4,3,7
"23",7,9,9,2,4,1,1,4,4,1,1,1,1,8,1,1,7,9
"24",7,4,4,10,3,5,5,3,3,5,5,5,5,8,5,5,7,4
"25",3,7,7,6,2,4,4,2,2,4,4,4,4,1,4,4,3,7
"26",9,7,7,10,6,8,8,6,6,8,8,8,8,3,8,8,9,7
"27",7,9,9,3,8,5,5,8,8,5,5,5,5,4,5,5,7,9
"28",5,6,6,4,1,8,8,1,1,8,8,8,8,9,8,8,5,6
"29",9,6,6,1,4,8,8,4,4,8,8,8,8,3,8,8,9,6
"30",8,5,5,10,1,3,3,1,1,3,3,3,3,2,3,3,8,5
"31",3,8,8,4,6,2,2,6,6,2,2,2,2,7,2,2,3,8
"32",7,8,8,2,6,5,5,6,6,5,5,5,5,1,5,5,7,8
"33",5,4,4,7,3,6,6,3,3,6,6,6,6,2,6,6,5,4
"34",4,2,2,5,1,6,6,1,1,6,6,6,6,3,6,6,4,2
"35",7,6,6,4,1,5,5,1,1,5,5,5,5,3,5,5,7,6
"36",7,1,1,8,4,5,5,4,4,5,5,5,5,2,5,5,7,1
"37",5,7,7,2,6,1,1,6,6,1,1,1,1,8,1,1,5,7
"38",4,10,10,7,9,8,8,9,9,8,8,8,8,3,8,8,4,10
"39",1,5,5,6,2,8,8,2,2,8,8,8,8,7,8,8,1,5
"40",3,9,9,4,1,10,10,1,1,10,10,10,10,7,10,10,3,9
"41",2,4,4,3,6,7,7,6,6,7,7,7,7,1,7,7,2,4
"42",5,1,1,4,8,7,7,8,8,7,7,7,7,6,7,7,5,1
"43",4,7,7,9,1,2,2,1,1,2,2,2,2,9,2,2,4,7
"44",6,5,5,1,9,8,8,9,9,8,8,8,8,7,8,8,6,5
"45",5,3,3,2,7,4,4,7,7,4,4,4,4,6,4,4,5,3
"46",4,5,5,9,2,3,3,2,2,3,3,3,3,4,3,3,4,5
"47",3,7,7,2,5,6,6,5,5,6,6,6,6,4,6,6,3,7
"48",8,7,7,2,6,5,5,6,6,5,5,5,5,1,5,5,8,7
"49",6,7,7,2,3,8,8,3,3,8,8,8,8,4,8,8,6,7
"50",5,3,3,6,1,7,7,1,1,7,7,7,7,4,7,7,5,3
"51",7,4,4,2,6,1,1,6,6,1,1,1,1,3,1,1,7,4
"52",7,9,9,4,2,8,8,2,2,8,8,8,8,6,8,8,7,9
"53",5,4,4,2,6,8,8,6,6,8,8,8,8,1,8,8,5,4
"54",9,10,10,11,6,7,7,6,6,7,7,7,7,4,7,7,9,10
"55",10,7,7,5,4,1,1,4,4,1,1,1,1,8,1,1,10,7
"56",11,4,4,9,6,7,7,6,6,7,7,7,7,10,7,7,11,4
"57",2,9,9,7,5,1,1,5,5,1,1,1,1,4,1,1,2,9
"58",7,10,10,2,3,8,8,3,3,8,8,8,8,6,8,8,7,10
"59",2,1,1,3,7,8,8,7,7,8,8,8,8,6,8,8,2,1
"60",5,2,2,4,7,6,6,7,7,6,6,6,6,3,6,6,5,2
"61",3,1,1,8,2,4,4,2,2,4,4,4,4,6,4,4,3,1
"62",8,3,3,2,5,6,6,5,5,6,6,6,6,7,6,6,8,3
"63",9,8,8,5,4,10,10,4,4,10,10,10,10,7,10,10,9,8
"64",7,2,2,6,5,1,1,5,5,1,1,1,1,3,1,1,7,2
"65",3,6,6,2,8,7,7,8,8,7,7,7,7,4,7,7,3,6
"66",3,8,8,2,5,9,9,5,5,9,9,9,9,7,9,9,3,8
"67",2,5,5,4,1,3,3,1,1,3,3,3,3,6,3,3,2,5
"68",7,1,1,2,6,3,3,6,6,3,3,3,3,4,3,3,7,1
"69",9,7,7,4,2,5,5,2,2,5,5,5,5,6,5,5,9,7
"70",6,3,3,7,5,2,2,5,5,2,2,2,2,1,2,2,6,3
"71",7,6,6,1,9,2,2,9,9,2,2,2,2,4,2,2,7,6
"72",5,4,4,6,7,3,3,7,7,3,3,3,3,2,3,3,5,4
"73",7,3,3,2,5,4,4,5,5,4,4,4,4,8,4,4,7,3
"74",1,3,3,7,6,8,8,6,6,8,8,8,8,2,8,8,1,3
"75",6,4,4,5,1,7,7,1,1,7,7,7,7,2,7,7,6,4
"76",6,7,7,8,8,3,3,8,8,3,3,3,3,12,3,3,6,7
"77",4,3,3,5,2,7,7,2,2,7,7,7,7,6,7,7,4,3
"78",1,2,2,3,4,6,6,4,4,6,6,6,6,5,6,6,1,2
"79",9,6,6,2,8,7,7,8,8,7,7,7,7,3,7,7,9,6
"80",8,3,3,2,6,9,9,6,6,9,9,9,9,5,9,9,8,3
"81",11,6,6,2,7,1,1,7,7,1,1,1,1,8,1,1,11,6
"82",5,3,3,7,4,8,8,4,4,8,8,8,8,1,8,8,5,3
"83",6,5,5,4,1,3,3,1,1,3,3,3,3,4,3,3,6,5
"84",7,2,2,1,5,4,4,5,5,4,4,4,4,3,4,4,7,2
"85",2,1,1,5,4,3,3,4,4,3,3,3,3,5,3,3,2,1
"86",1,7,7,3,5,8,8,5,5,8,8,8,8,4,8,8,1,7
"87",8,3,3,4,7,2,2,7,7,2,2,2,2,6,2,2,8,3
"88",6,3,3,7,5,1,1,5,5,1,1,1,1,2,1,1,6,3
"89",5,7,7,6,2,3,3,2,2,3,3,3,3,4,3,3,5,7
"90",3,2,2,4,1,7,7,1,1,7,7,7,7,9,7,7,3,2
"91",2,6,6,5,11,1,1,11,11,1,1,1,1,3,1,1,2,6
"92",2,6,6,1,4,3,3,4,4,3,3,3,3,5,3,3,2,6
"93",3,2,2,4,6,8,8,6,6,8,8,8,8,7,8,8,3,2
"94",10,9,9,6,7,2,2,7,7,2,2,2,2,3,2,2,10,9
"95",1,8,8,4,2,7,7,2,2,7,7,7,7,3,7,7,1,8
"96",1,6,6,2,3,5,5,3,3,5,5,5,5,7,5,5,1,6
"97",4,2,2,7,1,5,5,1,1,5,5,5,5,6,5,5,4,2
"98",2,7,7,8,5,1,1,5,5,1,1,1,1,8,1,1,2,7
"99",6,9,9,5,2,3,3,2,2,3,3,3,3,7,3,3,6,9
"100",5,4,4,5,2,3,3,2,2,3,3,3,3,7,3,3,5,4
