"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",2,3,1,5,1,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,9,3,3,3,11,7,3,3,1,1
"2",1,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,4,1,6,6,3,6,6,6,2,6,6,6,5,5
"3",4,3,7,2,7,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,5,3,3,3,4,1,3,3,7,7
"4",1,4,7,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,2,4,4,4,3,4,4,4,7,4
"5",4,2,6,5,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,3,2,2,2,7,2,2,2,6,7
"6",2,3,6,7,3,3,3,3,3,3,3,3,3,3,3,3,7,2,3,3,4,3,3,3,5,1,3,3,6,6
"7",4,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,2,5,5,5,1,1,5,5,3,5
"8",5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,2,8,2,2,2,7,2,2,2,3,3
"9",3,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,1,1,1,2,1,1,1,6,6
"10",1,9,6,11,9,9,9,9,9,9,9,9,9,9,9,9,11,1,9,9,7,9,9,9,10,6,9,9,6,9
"11",3,6,4,2,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6,6,7,6,6,6,5,1,6,6,4,5
"12",1,2,4,6,4,2,2,2,2,2,2,2,2,2,2,2,6,1,2,2,3,2,2,2,6,2,2,2,4,2
"13",6,1,5,9,5,1,1,1,1,1,1,1,1,1,1,1,9,6,1,1,2,1,1,1,8,10,1,1,5,3
"14",1,4,6,8,4,4,4,4,4,4,4,4,4,4,4,4,8,1,4,4,2,4,4,4,8,4,4,4,6,7
"15",2,3,1,5,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,4,3,3,3,5,3,3,3,1,1
"16",4,5,2,7,5,5,5,5,5,5,5,5,5,5,5,5,7,4,5,5,6,5,5,5,3,1,5,5,2,2
"17",3,6,7,8,6,6,6,6,6,6,6,6,6,6,6,6,8,3,6,6,2,6,6,6,1,6,6,6,7,6
"18",3,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,5,2,2,2,3,2,2,2,1,1
