"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",5,7,6,7,4,7,6,7,7,7,6,1,3,5,7,6,1,7,6,3,7,7,1,6,4
"2",4,1,5,1,6,1,5,7,1,1,5,8,2,4,1,5,8,1,5,2,1,1,8,5,6
"3",6,3,2,3,9,3,2,1,3,3,2,5,8,6,3,2,5,3,2,8,3,3,5,10,9
"4",1,3,1,3,2,3,1,5,3,3,1,4,2,1,3,1,4,3,1,3,3,3,4,5,2
"5",10,6,5,6,3,6,5,7,6,6,5,11,3,10,6,5,11,6,5,9,6,6,11,7,3
"6",7,8,5,8,3,8,5,6,8,8,5,2,2,7,8,5,2,8,5,2,8,8,2,2,3
"7",5,6,7,6,1,6,7,7,6,6,7,8,9,5,6,7,8,6,7,9,6,6,8,6,1
"8",6,3,1,3,9,3,1,5,3,3,1,2,8,6,3,1,2,3,1,8,3,3,2,5,9
"9",3,4,2,4,7,4,2,5,4,4,2,1,5,3,4,2,1,4,2,5,4,4,1,6,7
"10",2,8,3,8,4,8,3,1,8,8,3,7,4,2,8,3,7,8,3,8,8,8,7,1,4
"11",9,6,7,6,8,6,7,3,6,6,7,4,2,9,6,7,4,6,7,2,6,6,4,2,8
"12",1,9,5,9,7,9,5,8,9,9,5,11,10,1,9,5,11,9,5,10,9,9,11,2,7
"13",10,9,6,9,5,9,6,4,9,9,6,8,8,10,9,6,8,9,6,8,9,9,8,3,5
"14",5,6,4,6,2,6,4,7,6,6,4,1,3,5,6,4,1,6,4,3,6,6,1,3,2
"15",3,4,5,4,6,4,5,1,4,4,5,3,1,3,4,5,3,4,5,1,4,4,3,2,6
"16",3,1,5,1,4,1,5,1,1,1,5,3,6,3,1,5,3,1,5,6,1,1,3,2,4
"17",9,3,1,3,6,3,1,2,3,3,1,5,5,9,3,1,5,3,1,5,3,3,5,4,6
"18",5,3,4,3,2,3,4,7,3,3,4,6,1,5,3,4,6,3,4,1,3,3,6,8,2
"19",6,1,3,1,2,1,3,3,1,1,3,6,3,6,1,3,6,1,3,3,1,1,6,4,2
"20",5,3,8,3,1,3,8,8,3,3,8,5,1,5,3,8,5,3,8,3,3,3,5,6,1
