"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",4,3,5,6,5,5,5,5,5,5,5,1,3,1,5,5,5,2,5,5,5,6,5,5,5,1,5,5,5
"2",2,5,6,3,6,6,6,6,6,6,6,4,5,4,6,6,6,7,6,6,6,3,6,6,6,4,6,6,6
"3",5,7,4,3,4,4,4,4,4,4,4,1,7,1,4,4,4,2,4,4,4,3,4,4,4,1,4,4,4
"4",1,3,4,6,4,4,4,4,4,4,5,9,3,9,4,4,4,8,4,4,5,6,4,4,4,9,4,4,4
"5",2,4,1,9,1,1,1,1,1,1,7,3,4,3,1,1,1,3,1,1,7,9,1,1,1,3,1,1,1
"6",3,4,6,2,6,6,6,6,6,6,6,8,4,8,6,6,6,9,6,6,6,2,6,6,6,8,6,6,6
"7",7,4,3,9,3,3,3,3,3,3,2,1,4,1,3,3,3,8,3,3,2,9,3,3,3,1,3,3,3
"8",1,2,3,6,3,3,3,3,3,3,3,5,2,5,3,3,3,5,3,3,3,6,3,3,3,5,3,3,3
"9",2,9,4,7,4,4,4,4,4,4,1,3,9,3,4,4,4,1,4,4,1,7,4,4,4,3,4,4,4
"10",2,6,9,7,9,9,9,9,9,9,6,5,6,5,9,9,9,1,9,9,6,7,9,9,9,5,9,9,9
"11",3,8,2,5,2,2,2,2,2,2,6,7,8,7,2,2,2,4,2,2,6,5,2,2,2,7,2,2,2
"12",5,7,1,4,1,1,1,1,1,1,1,3,7,3,1,1,1,2,1,1,1,4,1,1,1,3,1,1,1
"13",4,5,7,1,7,7,7,7,7,7,6,2,5,2,7,7,7,3,7,7,6,1,7,7,7,2,7,7,7
"14",3,7,6,5,6,6,6,6,6,6,2,1,7,1,6,6,6,6,6,6,2,5,6,6,6,1,6,6,6
"15",7,8,4,1,4,4,4,4,4,4,2,6,8,6,4,4,4,5,4,4,2,1,4,4,4,6,4,4,4
"16",3,2,4,1,4,4,4,4,4,4,4,7,2,7,4,4,4,8,4,4,4,1,4,4,4,7,4,4,4
"17",5,2,4,7,4,4,4,4,4,4,4,6,2,6,4,4,4,6,4,4,4,7,4,4,4,6,4,4,4
"18",9,6,8,4,8,8,8,8,8,8,8,3,6,3,8,8,8,1,8,8,8,4,8,8,8,3,8,8,8
"19",4,8,5,2,5,5,5,5,5,5,6,3,8,3,5,5,5,1,5,5,6,2,5,5,5,3,5,5,5
"20",3,5,2,4,2,2,2,2,2,2,2,1,5,1,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2
"21",2,6,9,4,9,9,9,9,9,9,9,5,6,5,9,9,9,8,9,9,9,4,9,9,9,5,9,9,9
"22",1,5,3,6,3,3,3,3,3,3,3,7,5,7,3,3,3,3,3,3,3,6,3,3,3,7,3,3,3
"23",2,1,4,7,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,4,7,4,4,4,5,4,4,4
"24",2,6,8,7,8,8,8,8,8,8,8,4,6,4,8,8,8,1,8,8,8,7,8,8,8,4,8,8,8
"25",2,3,7,6,7,7,7,7,7,7,1,4,3,4,7,7,7,5,7,7,1,6,7,7,7,4,7,7,7
"26",5,3,4,7,4,4,4,4,4,4,4,1,3,1,4,4,4,6,4,4,4,7,4,4,4,1,4,4,4
"27",3,2,4,6,4,4,4,4,4,4,2,8,2,8,4,4,4,1,4,4,2,6,4,4,4,8,4,4,4
"28",3,2,4,1,4,4,4,4,4,4,4,6,2,6,4,4,4,5,4,4,4,1,4,4,4,6,4,4,4
"29",1,7,3,2,3,3,3,3,3,3,3,8,7,8,3,3,3,3,3,3,3,2,3,3,3,8,3,3,3
"30",4,7,5,2,5,5,5,5,5,5,5,3,7,3,5,5,5,6,5,5,5,2,5,5,5,3,5,5,5
"31",2,6,5,3,5,5,5,5,5,5,1,4,6,4,5,5,5,1,5,5,1,3,5,5,5,4,5,5,5
"32",6,1,4,2,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,4,2,4,4,4,5,4,4,4
"33",7,3,5,4,5,5,5,5,5,5,5,2,3,2,5,5,5,1,5,5,5,4,5,5,5,2,5,5,5
"34",1,5,2,6,2,2,2,2,2,2,5,7,5,7,2,2,2,3,2,2,5,6,2,2,2,7,2,2,2
"35",3,6,5,2,5,5,5,5,5,5,8,4,6,4,5,5,5,1,5,5,8,2,5,5,5,4,5,5,5
"36",2,7,5,6,5,5,5,5,5,5,5,8,7,8,5,5,5,4,5,5,5,6,5,5,5,8,5,5,5
