"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",5,3,4,6,3,3,2,3,4,3,2,3,3,3,3,3,6,5,3,4,1,6,2,2,2,4,2,1,4,4
"2",4,5,7,1,6,5,3,6,7,5,5,5,5,5,5,5,1,4,6,7,2,1,5,3,2,5,3,1,7,7
"3",5,1,2,3,1,1,1,4,2,4,1,4,4,4,4,4,1,5,1,2,3,1,1,1,3,1,1,1,2,2
"4",1,11,6,8,2,11,7,4,9,11,11,11,11,11,11,11,8,1,3,6,5,5,8,7,9,8,7,5,6,6
"5",8,4,5,7,2,5,2,2,3,2,2,2,2,8,2,2,7,8,2,5,1,2,7,2,3,7,2,6,5,4
"6",2,3,4,1,1,3,3,4,4,3,1,3,3,3,3,3,1,2,3,4,5,3,1,3,5,1,3,3,4,4
"7",5,4,7,1,8,4,4,2,2,4,4,4,4,2,4,4,1,5,8,7,6,4,3,4,2,3,4,4,7,7
"8",7,6,6,3,2,6,4,2,6,3,3,3,3,4,3,3,3,7,2,6,1,2,3,4,2,3,4,3,6,6
"9",3,2,9,8,4,2,2,4,10,4,10,5,5,5,5,5,11,3,4,9,1,11,10,2,1,10,2,2,9,9
"10",1,8,4,6,7,8,8,7,7,8,8,8,8,8,8,8,6,1,7,4,3,2,8,8,6,7,8,3,4,5
"11",7,8,2,3,9,8,10,4,4,8,8,8,8,8,8,8,3,7,9,2,6,8,9,10,10,8,10,9,2,2
"12",2,5,5,1,4,5,1,4,4,2,1,4,4,4,4,4,1,2,4,5,3,1,1,1,1,1,1,3,5,5
"13",6,4,4,8,9,4,11,12,10,9,9,9,9,9,9,9,8,6,9,4,5,7,9,11,8,2,11,9,4,4
"14",3,1,4,5,1,1,7,7,6,1,1,1,1,1,1,1,5,3,7,4,2,7,1,7,7,1,7,6,4,4
"15",4,5,7,6,3,5,5,3,4,5,6,5,5,5,5,5,6,4,3,7,1,5,6,5,6,6,5,5,7,7
"16",4,2,5,3,2,2,2,4,5,2,2,2,2,2,2,2,3,4,2,5,1,1,2,2,1,2,2,1,5,5
"17",1,5,3,4,5,5,5,1,3,5,5,5,5,5,5,5,4,1,5,3,2,5,5,5,2,5,5,5,3,3
"18",2,5,5,6,4,5,1,4,5,4,6,4,4,4,4,4,6,2,4,5,3,1,6,1,3,5,1,4,5,5
"19",3,5,5,1,2,5,2,2,5,2,1,2,2,2,2,2,1,3,2,5,4,1,1,2,4,5,2,2,5,5
"20",6,3,3,5,2,3,2,2,4,4,4,4,4,2,4,4,5,6,2,3,1,4,4,2,5,4,2,4,3,3
"21",4,7,6,2,7,7,3,3,5,7,7,7,7,7,7,7,2,4,7,6,2,7,7,3,3,1,3,7,6,6
"22",3,4,9,10,8,4,4,5,7,4,4,4,4,1,4,4,10,3,8,9,2,1,4,4,10,4,4,8,9,9
"23",7,4,10,3,5,4,4,5,10,4,4,4,4,4,4,4,3,7,5,10,8,4,2,4,6,2,4,9,10,6
"24",2,17,4,9,8,17,17,16,4,17,17,17,17,11,17,17,9,2,8,4,14,7,19,17,5,19,17,10,4,4
"25",1,4,4,3,2,4,2,2,4,1,2,2,2,2,2,2,3,1,2,4,5,2,2,2,5,4,2,2,4,3
"26",2,7,5,6,3,7,7,1,1,7,6,7,7,7,7,7,6,2,3,1,4,7,6,7,4,6,7,7,5,5
"27",4,1,6,2,1,1,1,3,1,3,1,3,3,3,3,3,2,4,1,6,5,3,1,1,2,1,1,1,6,6
"28",9,5,12,1,8,5,5,8,11,5,1,5,5,5,5,5,1,9,2,12,7,4,1,5,8,11,5,5,12,12
"29",4,3,3,5,6,3,6,6,3,6,6,6,6,6,6,6,5,4,6,3,1,1,6,6,5,6,6,6,3,3
"30",3,5,5,6,7,3,7,7,2,7,2,7,7,7,7,7,6,3,7,5,6,2,2,7,6,2,7,7,5,5
"31",1,3,3,5,4,3,2,2,3,2,2,2,2,2,2,2,5,1,2,3,4,2,4,2,5,3,2,2,3,3
"32",2,1,1,4,5,2,4,5,1,5,4,5,5,5,5,5,4,2,5,1,3,3,4,4,4,4,4,3,1,1
"33",3,2,6,5,4,2,2,4,6,2,2,2,2,4,2,2,5,3,4,6,1,4,2,2,1,2,2,2,6,6
"34",1,9,7,11,4,9,9,6,9,9,9,9,9,10,9,9,3,1,4,7,5,3,4,9,11,4,9,11,7,7
"35",3,4,7,5,9,4,4,9,7,4,4,4,4,4,4,4,5,3,4,7,2,2,4,4,5,4,4,2,7,7
"36",6,7,8,4,9,7,2,9,7,1,7,7,7,5,7,7,4,6,9,8,10,9,7,2,9,7,2,9,8,8
"37",3,5,6,2,4,5,5,4,6,5,2,5,5,5,5,5,2,3,5,6,1,5,2,5,2,2,5,5,6,4
"38",2,6,1,3,5,6,6,7,1,6,6,6,6,6,6,6,3,2,5,1,4,5,5,6,7,5,6,6,1,7
"39",2,8,8,1,3,8,3,3,8,3,3,3,3,3,3,3,1,2,3,8,5,7,3,3,1,3,3,3,8,8
"40",8,2,4,1,5,2,6,5,2,2,1,2,2,2,2,2,1,8,5,4,3,7,1,6,5,2,6,2,4,5
"41",8,2,3,5,2,2,9,9,1,8,4,1,1,1,1,1,5,8,2,3,7,2,4,9,9,4,9,2,3,3
"42",4,6,2,5,3,6,6,3,3,6,6,6,6,6,6,6,5,4,3,2,1,1,6,6,3,3,6,1,2,2
"43",4,5,1,3,7,5,5,7,2,7,5,5,5,5,5,5,3,4,7,1,6,6,5,5,3,2,5,6,1,1
"44",5,4,4,6,1,4,2,1,2,2,6,2,2,2,2,2,6,5,2,4,3,2,6,2,6,2,2,2,4,4
"45",5,6,4,2,3,6,6,3,2,6,2,6,6,6,6,6,2,5,6,4,1,6,2,6,1,4,6,6,4,4
"46",4,2,8,6,1,2,5,5,6,2,2,2,2,2,2,2,6,4,1,8,3,3,1,5,3,5,5,1,8,8
"47",2,1,1,4,6,1,3,3,3,3,3,3,3,3,3,3,4,2,6,1,5,5,6,3,3,3,3,5,1,1
"48",2,6,6,5,4,6,1,4,4,1,1,1,1,1,1,1,5,2,4,6,3,1,1,1,4,1,1,1,6,6
"49",6,2,2,3,4,1,7,4,1,1,1,1,1,1,1,1,3,6,4,2,5,5,3,7,7,1,7,1,2,2
"50",5,1,2,3,4,8,8,4,2,9,8,8,8,4,8,8,3,5,4,2,7,7,8,8,3,8,8,6,2,1
"51",7,3,3,6,4,3,2,2,2,2,2,2,2,2,2,2,6,7,2,3,5,6,4,2,5,4,2,2,3,3
"52",4,7,7,2,5,7,8,8,2,8,8,8,8,8,8,8,2,4,5,7,6,8,5,8,2,5,8,8,7,1
"53",3,4,5,2,1,4,4,1,2,4,4,4,4,4,4,4,2,3,1,5,7,4,4,4,2,4,4,1,5,1
"54",6,4,4,3,5,4,1,5,3,1,1,1,1,1,1,1,3,6,5,4,7,7,1,1,3,1,1,1,4,4
"55",8,2,2,3,4,2,5,4,2,4,4,4,4,4,4,4,3,8,4,2,5,5,4,5,3,4,5,5,2,6
"56",10,6,8,4,2,6,3,2,6,6,6,6,6,6,6,6,4,10,2,8,9,9,3,3,11,3,3,4,8,5
"57",3,5,5,10,7,5,9,9,6,9,9,9,9,9,9,9,10,3,8,5,2,9,11,9,1,11,9,4,5,5
"58",4,2,9,11,10,2,2,1,1,2,2,2,2,2,2,2,11,4,10,9,8,5,11,2,1,6,2,2,9,7
"59",5,6,4,1,6,6,6,3,3,6,6,6,6,3,6,6,1,5,3,4,2,6,6,6,2,6,6,6,4,4
"60",1,6,6,3,5,6,4,5,6,5,5,5,5,5,5,5,3,1,5,6,2,5,5,4,4,5,4,4,6,6
"61",3,2,2,1,5,2,6,5,7,5,6,6,6,6,6,6,1,3,5,2,4,6,6,6,1,6,6,4,2,2
"62",1,2,2,3,5,2,5,5,2,5,3,5,5,5,5,5,3,1,5,2,4,5,3,5,3,3,5,3,2,2
"63",1,5,4,3,5,5,6,5,3,5,3,5,5,5,5,5,3,1,5,4,2,2,3,6,2,3,6,6,4,4
"64",2,4,8,5,7,4,4,7,3,7,4,4,4,4,4,4,5,2,7,8,1,6,5,4,1,5,4,4,8,8
"65",2,3,3,5,4,3,4,5,5,4,4,4,4,4,4,4,4,2,4,3,1,4,4,4,5,3,4,4,3,3
"66",2,1,8,6,3,1,3,3,5,9,6,1,1,7,1,1,6,2,3,8,4,5,6,3,4,5,3,1,8,8
"67",5,3,1,2,4,3,3,4,2,3,3,3,3,3,3,3,2,5,4,1,4,3,3,3,2,3,3,3,1,1
"68",6,1,5,4,2,1,1,2,5,1,4,1,1,1,1,1,4,6,1,5,2,1,4,1,4,4,1,3,5,5
"69",8,1,4,2,9,9,7,1,4,9,9,9,9,9,9,9,2,8,9,1,11,9,9,7,7,9,7,5,4,1
"70",4,1,2,3,1,1,1,7,3,7,3,7,7,4,7,7,3,4,1,2,6,1,3,1,5,3,1,1,2,2
