"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"2",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"3",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"4",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"5",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"6",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"7",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"8",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"9",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"10",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"11",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"12",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"13",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"14",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"15",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"16",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"17",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"18",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"19",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
"20",1,12,13,1,13,11,3,6,6,13,6,11,13,11,11,13,6,12,3,5,13,4,5,11,4,3,5,1,1,5,5,5,1,3
