"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",10,5,10,5,2,6,10,7,8,6,6,7,6,10,7,1,7,5,7,7,7,7,7,6,10,10,7,7,10
"2",4,2,4,2,2,3,4,7,5,3,3,7,3,4,7,8,7,1,7,7,7,7,7,3,4,4,7,7,4
"3",5,2,5,2,2,4,5,1,1,4,4,1,4,5,1,4,1,2,1,1,1,1,1,4,5,5,1,1,5
"4",9,7,9,7,7,6,9,2,3,6,6,2,6,9,2,5,2,11,2,2,2,2,2,6,9,9,2,2,9
"5",3,6,3,6,6,2,3,4,1,2,2,4,2,3,4,1,4,5,4,4,4,4,4,2,3,3,4,4,3
"6",6,1,6,1,1,2,6,3,4,2,2,3,2,6,3,4,3,7,3,3,3,3,3,2,6,6,3,3,6
"7",5,6,5,6,6,1,5,10,9,1,1,10,1,5,10,3,10,2,10,10,10,10,10,1,5,5,10,10,5
"8",6,1,6,1,1,2,6,3,5,2,2,3,2,6,3,4,3,5,3,3,3,3,3,2,6,6,3,3,6
"9",8,4,8,4,4,7,8,5,5,7,7,5,7,8,5,6,5,7,5,5,5,5,5,7,8,8,5,5,8
"10",2,6,2,6,6,1,2,5,5,1,1,5,1,2,5,1,5,4,5,5,5,5,5,1,2,2,5,5,2
"11",4,11,4,11,11,9,4,8,1,9,9,8,9,4,8,1,8,1,8,8,8,8,8,9,4,4,8,8,4
"12",6,2,6,2,5,3,6,1,4,3,3,1,3,6,1,5,1,4,1,1,1,1,1,3,6,6,1,1,6
"13",8,5,8,5,5,7,8,11,4,7,7,11,7,8,11,10,11,6,11,11,11,11,11,7,8,8,11,11,8
"14",5,4,5,4,4,1,5,2,6,1,1,2,1,5,2,3,2,4,2,2,2,2,2,1,5,5,2,2,5
"15",9,7,9,7,6,5,9,10,8,5,5,10,5,9,10,1,10,1,10,10,10,10,10,5,9,9,10,10,9
"16",1,2,1,2,2,6,1,3,5,6,6,3,6,1,3,6,3,5,3,3,3,3,3,6,1,1,3,3,1
"17",10,3,10,3,3,8,10,7,5,8,8,7,8,10,7,5,7,5,7,7,7,7,7,8,10,10,7,7,10
"18",3,4,3,4,4,6,3,1,2,6,6,1,6,3,1,5,1,7,1,1,1,1,1,6,3,3,1,1,3
"19",2,6,2,6,6,5,2,1,3,5,5,1,5,2,1,2,1,3,1,1,1,1,1,5,2,2,1,1,2
"20",7,4,7,4,6,5,7,1,2,5,5,1,5,7,1,8,1,3,1,1,1,1,1,5,7,7,1,1,7
"21",6,1,6,1,1,4,6,5,7,4,4,5,4,6,5,7,5,7,5,5,5,5,5,4,6,6,5,5,6
"22",7,2,7,2,2,10,7,3,5,10,10,3,10,7,3,2,3,5,3,3,3,3,3,10,7,7,3,3,7
"23",6,7,6,7,7,3,6,1,10,3,3,1,3,6,1,8,1,2,1,1,1,1,1,3,6,6,1,1,6
"24",1,2,1,2,4,3,1,5,4,3,3,5,3,1,5,7,5,9,5,5,5,5,5,3,1,1,5,5,1
"25",8,2,8,2,2,5,8,1,7,5,5,1,5,8,1,4,1,7,1,1,1,1,1,5,8,8,1,1,8
"26",8,6,8,6,6,3,8,7,2,3,3,7,3,8,7,4,7,3,7,7,7,7,7,3,8,8,7,7,8
"27",11,10,11,10,10,8,11,1,4,8,8,1,8,11,1,7,1,8,1,1,1,1,1,8,11,11,1,1,11
"28",7,3,7,3,3,4,7,2,5,4,4,2,4,7,2,1,2,5,2,2,2,2,2,4,7,7,2,2,7
"29",1,5,1,5,5,3,1,9,8,3,3,9,3,1,9,5,9,2,9,9,9,9,9,3,1,1,9,9,1
"30",10,9,10,9,9,6,10,2,3,6,6,2,6,10,2,8,2,4,2,2,2,2,2,6,10,10,2,2,10
