"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"2",4,7,11,4,11,14,8,3,10,8,8,14,14,13,14,10,10,7,10,2,11,2,2,14,2,8,3,3,2,13,13,14,4,10
"3",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"4",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"5",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"6",1,9,9,1,9,11,10,4,8,10,10,5,5,5,5,8,8,9,8,12,9,12,12,5,12,10,4,4,5,11,5,5,1,8
"7",1,6,10,1,10,10,7,9,8,7,7,9,9,8,8,8,8,6,8,3,10,3,3,9,3,7,9,9,3,11,8,9,1,8
"8",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"9",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"10",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"11",5,8,8,5,8,9,7,6,2,7,7,12,12,12,12,2,2,8,2,1,8,1,1,12,1,7,6,6,12,9,12,12,5,2
"12",7,14,5,7,5,12,1,13,3,1,1,13,13,12,12,3,3,14,3,14,5,14,14,13,14,1,13,13,14,12,12,13,7,3
"13",11,2,6,11,6,4,13,8,10,13,13,8,6,6,8,6,10,2,10,12,6,12,12,8,12,13,8,8,12,3,6,8,11,10
"14",8,12,10,8,10,4,9,5,6,9,9,2,2,2,2,6,6,12,6,7,10,7,7,2,7,9,5,5,2,14,2,2,8,6
"15",6,1,2,6,2,4,7,5,3,7,7,5,5,4,4,3,3,1,3,2,2,2,2,5,2,7,5,5,2,4,4,5,6,3
"16",2,5,7,2,7,3,8,11,12,8,8,10,10,10,10,12,12,5,12,6,7,6,6,10,6,8,11,11,10,11,10,10,2,12
"17",9,3,12,9,12,1,14,8,1,14,14,8,8,4,4,4,1,3,1,5,12,5,5,8,5,14,8,8,5,2,4,8,9,1
"18",2,11,10,2,10,1,9,3,4,9,9,3,3,4,4,4,4,11,4,10,10,10,10,3,10,9,3,3,10,1,4,3,2,4
"19",4,5,1,4,1,2,2,3,9,2,2,3,1,1,3,1,9,5,9,8,1,8,8,3,8,2,3,3,8,1,1,3,4,9
"20",9,4,2,9,2,8,3,8,5,3,3,8,2,2,8,2,5,4,5,11,2,11,11,8,11,3,8,8,11,12,2,8,9,5
"21",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"22",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"23",8,11,5,8,5,7,12,4,10,12,12,4,4,10,10,10,10,11,10,9,5,9,9,4,9,12,4,4,9,14,10,4,8,10
