"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"2",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"3",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"4",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"5",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"6",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"7",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"8",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"9",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"10",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"11",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"12",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"13",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"14",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"15",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"16",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"17",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"18",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"19",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"20",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"21",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"22",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"23",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"24",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"25",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"26",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"27",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"28",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"29",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"30",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"31",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"32",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"33",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"34",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"35",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"36",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"37",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"38",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,24,20,21,23,23,24,23,26,4,8,29,23,31,32,33,34,35,23,37,38,24,40,41
"39",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"40",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"41",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"42",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"43",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"44",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"45",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"46",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"47",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"48",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"49",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"50",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"51",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"52",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"53",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
"54",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,39,20,21,23,23,39,23,26,4,8,29,23,31,32,33,34,35,23,37,38,39,40,41
"55",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"56",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"57",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"58",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"59",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,19,20,21,15,23,19,9,26,4,8,29,30,31,32,33,34,35,36,37,15,19,40,41
"60",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,39,20,21,15,23,39,9,26,4,8,29,30,31,32,33,34,35,36,37,15,39,40,41
"61",1,2,3,4,5,6,7,8,9,23,11,12,13,14,23,16,17,18,19,20,21,23,23,19,23,26,4,8,29,23,31,32,33,34,35,23,37,38,19,40,41
"62",1,2,3,4,5,6,7,8,9,15,11,12,13,14,15,16,15,18,24,20,21,15,23,24,9,26,4,8,29,30,31,32,33,34,35,36,37,15,24,40,41
