"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"2",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"3",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"4",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"5",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"6",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"7",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"8",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"9",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"10",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"11",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"12",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"13",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"14",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"15",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"16",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"17",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"18",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"19",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"20",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"21",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"22",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"23",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"24",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"25",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"26",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"27",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"28",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"29",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"30",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"31",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"32",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"33",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"34",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"35",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"36",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"37",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"38",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"39",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"40",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"41",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"42",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"43",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"44",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"45",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"46",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"47",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"48",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"49",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"50",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"51",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"52",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"53",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"54",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"55",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"56",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"57",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"58",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"59",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"60",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"61",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"62",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"63",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"64",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
"65",1,12,13,1,13,11,3,2,8,3,3,10,10,9,9,9,8,12,8,7,13,7,7,10,7,3,2,2,7,5,9,10,1,8
