"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118"
"1",3,2,1,2,1,7,7,2,9,2,4,11,7,12,12,2,3,12,7,9,2,11,3,2,2,6,3,1,4,11,2,11,6,4,4,2,1,9,2,1,4,12,4,4,1,2,2,4,12,4,1,2,2,6,3,11,3,4,6,1,4,2,2,2,1,6,1,11,2,2,1,3,3,3,6,5,6,3,1,7,11,11,11,3,11,11,6,12,1,9,5,5,6,1,2,6,4,3,3,9,6,2,9,1,11,1,11,11,6,9,4,12,6,6,6,6,5,5
"2",17,16,13,18,12,15,15,16,16,16,1,10,15,6,10,16,17,6,15,10,18,10,9,18,16,12,9,9,6,10,18,13,12,1,17,16,13,10,16,13,13,13,1,13,12,16,18,8,8,6,13,8,18,5,17,10,17,17,12,12,1,18,16,16,13,18,13,10,10,18,13,8,17,8,12,14,5,8,13,15,10,10,10,8,10,8,12,6,12,17,14,2,5,13,16,5,6,17,17,10,5,16,10,13,8,16,10,10,5,10,6,6,12,5,5,5,14,12
"3",12,20,12,18,18,17,17,20,20,20,2,4,17,10,10,20,12,10,17,20,18,4,14,18,20,4,14,14,18,4,18,4,4,18,19,20,12,20,20,12,19,19,19,19,18,20,18,19,19,18,12,12,12,1,19,4,12,19,10,18,12,18,20,20,12,1,12,4,20,18,12,19,12,19,18,12,1,19,12,13,4,4,4,19,4,13,4,10,17,4,17,19,1,12,20,1,18,12,12,20,1,20,20,12,13,20,4,4,19,20,18,10,4,1,1,1,12,17
"4",4,7,1,7,10,12,12,7,8,7,4,11,12,13,13,7,4,13,12,8,7,11,4,7,7,10,4,1,3,11,7,11,10,4,4,7,1,8,7,1,4,4,4,1,10,7,7,8,13,3,1,1,7,11,5,11,4,4,10,10,4,7,7,7,1,11,1,11,7,7,1,5,4,12,10,9,8,5,1,12,11,11,11,5,11,12,10,13,13,4,13,9,8,1,7,8,3,4,4,11,8,7,8,1,12,1,11,11,5,8,3,13,10,8,10,1,9,13
"5",7,8,3,2,7,9,9,8,8,8,7,4,9,5,5,8,7,5,9,7,2,4,1,2,8,2,1,3,8,4,2,4,2,7,8,8,3,7,8,3,1,5,1,3,7,8,2,1,5,8,3,3,2,4,7,4,7,8,5,7,7,2,8,8,3,2,3,4,2,2,3,1,7,1,2,6,1,1,3,9,4,4,4,1,4,9,2,5,5,7,5,6,1,3,8,1,8,7,7,4,1,8,7,3,9,3,4,4,1,7,8,5,2,1,2,3,6,5
"6",10,8,17,3,1,16,16,8,8,8,17,15,16,2,2,8,10,2,1,8,3,15,3,3,8,15,3,3,11,15,3,15,15,17,17,8,17,8,8,17,16,17,17,17,1,8,3,5,5,11,17,5,3,11,17,15,10,10,1,1,17,3,8,8,17,3,10,15,8,3,17,5,10,16,1,2,11,5,17,16,15,15,15,5,15,16,15,2,1,10,2,6,11,17,8,11,11,10,10,8,11,8,8,17,16,8,15,15,5,8,11,2,15,11,11,17,2,1
"7",9,4,6,7,2,8,8,4,2,4,7,4,8,1,1,4,9,1,8,2,7,4,6,7,4,2,6,6,4,4,7,6,2,7,9,4,6,2,4,6,3,1,9,6,2,4,7,9,1,9,6,9,7,8,9,4,9,9,2,2,7,7,4,4,6,7,6,4,4,7,6,9,9,8,2,5,8,9,6,8,4,4,4,9,4,8,2,1,1,9,1,5,8,6,4,8,4,9,9,4,8,4,2,6,8,6,4,4,9,2,4,1,4,8,8,8,5,1
"8",3,2,5,3,1,1,1,2,2,2,3,2,1,1,1,2,3,1,1,3,3,2,1,3,2,6,1,5,6,2,3,5,6,3,4,2,5,3,2,5,4,1,4,5,1,2,2,4,1,6,5,5,3,5,3,2,3,4,1,1,3,3,2,2,5,5,5,2,2,3,5,4,3,1,6,5,4,4,5,1,2,2,2,4,2,1,6,1,1,3,1,5,4,5,2,4,6,3,3,2,4,2,3,5,1,5,2,2,4,3,6,1,2,4,6,4,5,1
"9",16,9,20,8,11,17,17,9,3,9,8,10,17,11,11,9,16,11,21,3,8,10,7,8,9,9,7,7,18,10,8,20,10,8,23,9,20,3,9,20,23,11,23,20,11,9,8,23,11,18,20,17,8,20,4,10,16,16,23,11,8,8,9,9,20,8,16,10,3,8,20,4,16,17,11,7,23,4,20,17,10,10,10,4,10,17,10,11,11,3,21,7,23,20,9,23,18,16,16,3,23,9,3,20,17,9,10,10,23,3,18,11,10,23,10,23,7,21
"10",5,9,11,17,22,15,15,9,13,9,4,21,15,6,6,9,5,6,15,13,17,21,8,17,9,9,8,8,20,21,17,11,21,22,23,9,11,13,9,11,6,6,4,23,22,9,17,6,6,20,11,1,17,11,17,21,5,5,6,22,4,17,9,9,11,17,5,21,17,17,11,4,5,15,22,21,23,4,11,15,21,21,21,4,21,15,9,6,6,13,6,16,23,11,9,23,20,5,5,13,23,9,13,11,15,11,21,21,23,13,20,6,9,23,23,23,21,6
