"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",4,5,2,6,6,6,5,7,1
"2",3,7,5,2,2,2,7,4,1
"3",5,2,1,3,3,3,2,6,4
"4",3,4,5,2,2,2,4,6,1
"5",1,3,6,2,2,2,3,5,4
"6",1,6,4,2,2,2,6,3,5
"7",3,6,7,8,8,8,6,1,5
"8",5,3,4,1,1,1,3,2,6
"9",1,2,3,4,4,4,2,5,6
"10",3,7,6,1,1,1,7,4,8
"11",1,5,2,4,4,4,5,6,3
"12",4,1,3,5,5,5,1,6,2
"13",2,4,3,1,1,1,4,6,5
"14",4,6,5,1,1,1,6,3,2
"15",4,3,5,6,6,6,3,8,2
"16",3,1,8,9,9,9,1,5,7
"17",8,4,5,6,6,6,4,1,3
"18",4,3,6,1,1,1,3,5,2
"19",5,1,6,4,4,4,1,3,2
"20",5,7,5,3,3,3,7,6,1
"21",6,5,1,4,4,4,5,3,2
"22",2,6,8,5,5,5,6,4,7
"23",2,6,4,5,5,5,6,1,7
"24",4,3,1,7,7,7,3,5,2
"25",4,2,6,5,5,5,2,1,3
"26",7,6,5,2,2,2,6,1,3
"27",2,3,5,8,8,8,3,7,1
"28",3,2,7,5,5,5,2,4,1
"29",3,7,6,4,4,4,7,5,1
"30",5,7,6,4,4,4,7,3,1
"31",3,5,4,1,1,1,5,2,7
"32",9,5,2,3,3,3,5,8,10
"33",3,6,7,2,2,2,6,5,4
"34",2,3,1,6,6,6,3,4,5
"35",6,7,1,5,5,5,7,4,3
"36",5,4,1,6,6,6,4,7,2
"37",1,3,7,5,5,5,3,8,4
"38",2,5,1,3,3,3,5,4,6
"39",4,7,1,5,5,5,7,3,6
"40",4,8,3,7,7,7,8,6,5
"41",5,8,3,4,4,4,8,7,2
"42",7,4,3,6,6,6,4,8,2
"43",2,7,4,5,5,5,7,3,6
"44",5,2,1,4,4,4,2,6,3
"45",6,4,3,5,5,5,4,8,7
"46",1,4,6,8,8,8,4,3,7
"47",1,7,2,6,6,6,7,5,4
"48",1,5,2,3,3,3,5,4,6
"49",2,5,6,1,1,1,5,3,4
"50",3,6,8,2,2,2,6,7,4
"51",6,8,9,7,7,7,8,1,2
"52",8,6,3,2,2,2,6,4,5
"53",3,6,2,1,1,1,6,5,7
"54",6,2,4,3,3,3,2,1,5
"55",6,8,5,9,9,9,8,7,2
"56",7,8,5,1,1,1,8,3,6
"57",8,6,7,5,5,5,6,3,2
"58",4,2,3,5,5,5,2,1,6
"59",5,2,8,4,4,4,2,3,1
"60",7,4,5,2,2,2,4,1,6
"61",8,5,1,7,7,7,5,4,2
"62",3,6,5,1,1,1,6,2,4
"63",6,7,5,3,3,3,7,2,8
"64",2,6,7,3,3,3,6,4,1
"65",2,3,2,4,4,4,3,1,6
"66",3,6,7,2,2,2,6,1,8
"67",1,4,5,6,6,6,4,3,2
"68",4,2,5,1,1,1,2,3,6
"69",5,2,6,3,3,3,2,4,8
"70",1,3,4,6,6,6,3,7,5
"71",6,7,5,4,4,4,7,3,2
"72",1,2,7,3,3,3,2,6,4
"73",2,6,4,1,1,1,6,3,5
"74",4,6,3,2,2,2,6,7,1
"75",6,3,5,1,1,1,3,4,2
"76",1,2,3,5,5,5,2,4,6
"77",2,4,3,8,8,8,4,1,7
"78",3,2,1,8,8,8,2,7,9
"79",6,8,1,4,4,4,8,5,3
"80",3,6,1,2,2,2,6,7,5
"81",2,5,7,8,8,8,5,1,6
"82",5,1,2,3,3,3,1,4,7
"83",3,2,8,4,4,4,2,5,1
"84",5,3,6,2,2,2,3,4,1
"85",2,1,4,5,5,5,1,3,7
"86",9,1,3,8,8,8,1,5,7
"87",3,7,1,2,2,2,7,5,4
"88",2,1,5,4,4,4,1,6,3
"89",5,2,6,4,4,4,2,3,1
"90",6,4,3,1,1,1,4,2,5
"91",7,5,1,4,4,4,5,3,6
"92",2,1,4,3,3,3,1,5,7
"93",6,4,1,5,5,5,4,3,2
"94",7,5,4,3,3,3,5,8,6
"95",3,7,1,4,4,4,7,2,8
"96",1,3,2,7,7,7,3,8,5
"97",3,6,5,4,4,4,6,1,2
"98",6,1,2,4,4,4,1,8,3
"99",6,1,2,7,7,7,1,5,4
"100",3,6,5,2,2,2,6,1,4
