"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,3,2,1,1,4,1,4,1,2,1,4
"2",2,1,2,5,5,3,5,3,4,2,4,3
"3",4,1,4,3,3,5,3,5,3,2,3,5
"4",5,4,5,6,6,1,6,1,6,3,6,1
"5",2,3,2,6,6,4,6,4,6,2,6,4
"6",5,2,5,3,3,1,3,1,3,1,3,1
"7",5,3,5,2,2,4,2,4,1,5,1,4
"8",8,4,8,5,5,3,5,3,5,8,5,3
"9",4,2,4,1,1,5,4,5,3,5,3,5
"10",6,2,6,1,1,5,1,5,7,6,7,5
"11",3,1,3,2,2,4,2,4,2,4,2,4
"12",6,3,6,4,4,2,4,2,4,6,4,2
"13",1,5,1,2,2,3,2,3,2,1,2,3
"14",3,4,3,1,1,2,1,2,1,2,1,2
"15",3,5,3,4,4,2,4,2,4,2,4,2
"16",5,4,5,2,2,3,5,3,6,3,6,3
"17",4,6,4,2,2,3,2,3,2,1,2,3
"18",2,5,2,1,1,6,1,6,1,2,1,6
"19",1,1,1,4,4,3,5,3,4,3,4,3
"20",5,8,5,7,7,9,5,9,4,9,4,9
"21",2,1,2,4,4,3,4,3,4,3,4,3
"22",5,3,5,4,4,2,4,2,4,5,4,2
"23",6,3,6,7,7,2,7,2,7,5,7,2
"24",7,3,7,2,2,4,2,4,2,7,2,4
"25",1,4,1,2,2,6,2,6,2,7,2,6
"26",2,1,2,5,5,4,5,4,5,2,5,4
"27",3,5,3,4,4,6,4,6,4,6,4,6
"28",6,5,6,2,2,4,3,4,2,6,2,4
"29",8,1,8,3,3,7,3,7,3,8,3,7
"30",6,1,6,7,7,5,7,5,7,4,7,5
"31",3,1,3,2,2,4,2,4,2,3,2,4
"32",2,3,2,5,5,4,5,4,5,4,5,4
"33",1,7,1,5,5,2,5,2,5,4,5,2
"34",3,2,3,4,4,5,4,5,4,3,4,5
"35",3,1,3,7,7,2,7,2,6,3,6,2
"36",2,5,2,3,3,4,2,4,1,4,1,4
"37",6,4,6,3,3,5,3,5,3,5,3,5
"38",3,2,3,4,4,5,4,5,4,3,4,5
"39",3,4,3,5,5,8,5,8,5,3,5,8
"40",2,5,2,4,4,3,4,3,4,2,4,3
"41",3,4,3,6,6,5,6,5,6,3,6,5
"42",4,5,4,3,3,1,3,1,3,4,3,1
"43",2,1,2,4,4,3,4,3,5,2,5,3
"44",5,3,5,7,7,1,5,1,2,1,2,1
"45",1,2,1,4,4,3,4,3,4,1,4,3
"46",1,3,1,6,6,2,6,2,5,1,5,2
"47",2,1,2,5,5,3,5,3,5,2,5,3
"48",7,4,7,8,8,3,8,3,8,7,8,3
"49",5,4,5,3,3,2,3,2,3,2,3,2
"50",2,5,2,4,4,1,4,1,4,2,4,1
"51",2,1,2,6,6,3,2,3,5,3,5,3
"52",1,5,1,4,4,3,4,3,4,1,4,3
"53",1,4,1,2,2,6,2,6,2,1,2,6
"54",4,2,4,1,1,3,1,3,1,3,1,3
"55",2,5,2,4,4,3,4,3,4,2,4,3
"56",3,4,3,2,2,1,2,1,2,3,2,1
"57",4,3,4,2,2,6,2,6,2,6,2,6
"58",3,4,3,7,7,1,7,1,7,1,7,1
"59",5,4,5,6,6,7,6,7,6,5,6,7
"60",1,2,1,6,6,7,6,7,6,5,6,7
"61",3,1,3,4,4,6,4,6,4,3,4,6
"62",1,5,1,7,7,3,7,3,7,1,7,3
"63",3,2,3,1,1,5,1,5,1,3,1,5
"64",5,4,5,2,2,1,2,1,2,1,2,1
"65",7,5,7,3,3,6,3,6,3,6,3,6
"66",4,2,4,6,6,5,6,5,6,4,6,5
"67",1,4,1,5,5,2,5,2,5,1,5,2
"68",7,1,7,6,6,4,7,4,5,4,5,4
"69",4,5,4,6,6,2,6,2,6,7,6,2
"70",4,2,4,6,6,1,6,1,6,7,6,1
"71",2,7,2,8,8,3,8,3,8,2,8,3
"72",2,5,2,3,3,4,3,4,3,4,3,4
"73",2,6,2,3,3,5,3,5,3,2,3,5
"74",2,4,2,3,3,7,3,7,3,2,3,7
"75",5,2,5,3,3,4,3,4,3,7,3,4
"76",5,2,5,7,7,1,5,1,4,3,4,1
"77",2,5,2,3,3,1,3,1,3,2,3,1
"78",2,1,2,7,7,6,7,6,7,2,7,6
"79",3,1,3,6,6,5,6,5,6,4,6,5
"80",4,2,4,3,3,1,3,1,3,5,3,1
"81",1,2,1,5,5,3,5,3,5,3,5,3
"82",2,7,2,5,5,4,5,4,5,1,5,4
"83",4,3,4,1,1,2,1,2,1,2,1,2
"84",3,5,3,2,2,4,2,4,2,4,2,4
"85",3,4,3,5,5,2,5,2,5,2,5,2
"86",4,3,4,1,1,5,1,5,1,2,1,5
"87",6,7,6,2,2,4,2,4,2,6,2,4
"88",2,4,2,6,6,5,6,5,3,2,3,5
"89",5,2,5,6,6,1,5,1,4,1,4,1
"90",4,6,4,1,1,5,1,5,1,4,1,5
"91",2,1,2,4,4,3,4,3,4,2,4,3
"92",8,7,8,1,1,2,1,2,1,2,1,2
"93",2,6,2,7,7,3,7,3,5,2,5,3
"94",3,1,3,5,5,2,5,2,5,3,5,2
"95",2,3,2,4,4,5,4,5,4,2,4,5
"96",3,2,3,1,1,5,1,5,1,3,1,5
"97",1,5,1,2,2,4,2,4,2,1,2,4
"98",2,3,2,5,5,1,5,1,5,1,5,1
"99",5,1,5,2,2,4,2,4,2,3,2,4
"100",2,1,2,3,3,5,3,5,3,2,3,5
